product_id,product_category,product_name,product_url,discounted_price,original_price,product_images_url,page_no
product_office_chairs_1360,office_chairs,Office Ergonomic Swivel Chair,https://www.jumia.com.ng/generic-office-ergonomic-swivel-chair-115170209.html,"₦ 75,000","₦ 76,000",https://ng.jumia.is/unsafe/fit-in/680x680/filters:fill(white)/product/90/2071511/1.jpg?1475,5
product_wrist_watch_1182,wrist_watch,Fashion Sports Silicone Strap--Suitable For For IWatch,https://www.jumia.com.ng/generic-fashion-sports-silicone-strap-suitable-for-for-iwatch-83236365.html,"₦ 2,420","₦ 3,388","https://ng.jumia.is/unsafe/fit-in/680x680/filters:fill(white)/product/56/363238/1.jpg?2457,https://ng.jumia.is/unsafe/fit-in/680x680/filters:fill(white)/product/56/363238/2.jpg?2457,https://ng.jumia.is/unsafe/fit-in/680x680/filters:fill(white)/product/56/363238/3.jpg?2457,https://ng.jumia.is/unsafe/fit-in/680x680/filters:fill(white)/product/56/363238/4.jpg?2457",5
product_usb_hub_53,usb_hub,USB HUB 4 Ports 3.0 USB Hub  Adapter Data Transfer,https://www.jumia.com.ng/usb-hub-4-ports-3.0-usb-hub-adapter-data-transfer-123761778.html,"₦ 16,692","₦ 30,045","https://ng.jumia.is/unsafe/fit-in/680x680/filters:fill(white)/product/87/7167321/1.jpg?9493,https://ng.jumia.is/unsafe/fit-in/680x680/filters:fill(white)/product/87/7167321/2.jpg?9493,https://ng.jumia.is/unsafe/fit-in/680x680/filters:fill(white)/product/87/7167321/3.jpg?9493,https://ng.jumia.is/unsafe/fit-in/680x680/filters:fill(white)/product/87/7167321/4.jpg?9493",2
product_mouse_294,mouse,LED 2.4G Rechargeable Wireless Mouse Black,https://www.jumia.com.ng/generic-led-2.4g-rechargeable-wireless-mouse-black-210474510.html,"₦ 3,200","₦ 7,160","https://ng.jumia.is/unsafe/fit-in/680x680/filters:fill(white)/product/01/5474012/1.jpg?4590,https://ng.jumia.is/unsafe/fit-in/680x680/filters:fill(white)/product/01/5474012/2.jpg?4590,https://ng.jumia.is/unsafe/fit-in/680x680/filters:fill(white)/product/01/5474012/3.jpg?4590,https://ng.jumia.is/unsafe/fit-in/680x680/filters:fill(white)/product/01/5474012/4.jpg?4590,https://ng.jumia.is/unsafe/fit-in/680x680/filters:fill(white)/product/01/5474012/5.jpg?4590,https://ng.jumia.is/unsafe/fit-in/680x680/filters:fill(white)/product/01/5474012/6.jpg?4590,https://ng.jumia.is/unsafe/fit-in/680x680/filters:fill(white)/product/01/5474012/7.jpg?4590,https://ng.jumia.is/unsafe/fit-in/680x680/filters:fill(white)/product/01/5474012/8.jpg?4590",3
product_ear_pods_476,ear_pods,Wireless Headphones Ear Pods 0 Out Of 5,https://www.jumia.com.ng/generic-wireless-headphones-ear-pods-0-out-of-5-190071437.html,"₦ 16,090","₦ 32,170","https://ng.jumia.is/unsafe/fit-in/680x680/filters:fill(white)/product/73/4170091/1.jpg?7772,https://ng.jumia.is/unsafe/fit-in/680x680/filters:fill(white)/product/73/4170091/2.jpg?7772,https://ng.jumia.is/unsafe/fit-in/680x680/filters:fill(white)/product/73/4170091/3.jpg?7772",2
product_mouse_251,mouse,2.4G Wireless Mouse Portable Ultra-thin Mute Mouse 4 Keys,https://www.jumia.com.ng/generic-2.4g-wireless-mouse-portable-ultra-thin-mute-mouse-4-keys-109667404.html,"₦ 1,810","₦ 2,720","https://ng.jumia.is/unsafe/fit-in/680x680/filters:fill(white)/product/40/4766901/1.jpg?6071,https://ng.jumia.is/unsafe/fit-in/680x680/filters:fill(white)/product/40/4766901/2.jpg?6071,https://ng.jumia.is/unsafe/fit-in/680x680/filters:fill(white)/product/40/4766901/3.jpg?6071,https://ng.jumia.is/unsafe/fit-in/680x680/filters:fill(white)/product/40/4766901/4.jpg?6071,https://ng.jumia.is/unsafe/fit-in/680x680/filters:fill(white)/product/40/4766901/5.jpg?6071,https://ng.jumia.is/unsafe/fit-in/680x680/filters:fill(white)/product/40/4766901/6.jpg?6071,https://ng.jumia.is/unsafe/fit-in/680x680/filters:fill(white)/product/40/4766901/7.jpg?6071,https://ng.jumia.is/unsafe/fit-in/680x680/filters:fill(white)/product/40/4766901/8.jpg?6071",2
product_mouse_279,mouse,Logitech GAMING GEAR G304 Lightspeed Wireless Gaming Mouse BDZ,https://www.jumia.com.ng/logitech-gaming-gear-g304-lightspeed-wireless-gaming-mouse-bdz-83688645.html,"₦ 15,000","₦ 30,000","https://ng.jumia.is/unsafe/fit-in/680x680/filters:fill(white)/product/54/688638/1.jpg?7146,https://ng.jumia.is/unsafe/fit-in/680x680/filters:fill(white)/product/54/688638/2.jpg?7146,https://ng.jumia.is/unsafe/fit-in/680x680/filters:fill(white)/product/54/688638/3.jpg?7146,https://ng.jumia.is/unsafe/fit-in/680x680/filters:fill(white)/product/54/688638/4.jpg?7146",2
product_wrist_watch_1040,wrist_watch,"Superior Quality & Non Fading Classy ""Black Is Beautiful"" Wristwatch For The Lovers Of Black",https://www.jumia.com.ng/fashion-superior-quality-non-fading-classy-black-is-beautiful-wristwatch-for-the-lovers-of-black-78362135.html,"₦ 7,200","₦ 20,000","https://ng.jumia.is/unsafe/fit-in/680x680/filters:fill(white)/product/53/126387/1.jpg?6207,https://ng.jumia.is/unsafe/fit-in/680x680/filters:fill(white)/product/53/126387/2.jpg?6207",2
product_wrist_watch_1071,wrist_watch,Wlisth Fashion Quartz Men's Watch,https://www.jumia.com.ng/wlisth-fashion-quartz-mens-watch-174842461.html,"₦ 5,813","₦ 8,999","https://ng.jumia.is/unsafe/fit-in/680x680/filters:fill(white)/product/16/4248471/1.jpg?3535,https://ng.jumia.is/unsafe/fit-in/680x680/filters:fill(white)/product/16/4248471/2.jpg?3528,https://ng.jumia.is/unsafe/fit-in/680x680/filters:fill(white)/product/16/4248471/3.jpg?3535,https://ng.jumia.is/unsafe/fit-in/680x680/filters:fill(white)/product/16/4248471/4.jpg?3535",2
product_office_chairs_1250,office_chairs,Comfort Mesh Ergonomic Office Swivel Chair,https://www.jumia.com.ng/generic-comfort-mesh-ergonomic-office-swivel-chair-62620333.html,"₦ 31,000","₦ 35,000","https://ng.jumia.is/unsafe/fit-in/680x680/filters:fill(white)/product/33/302626/1.jpg?5945,https://ng.jumia.is/unsafe/fit-in/680x680/filters:fill(white)/product/33/302626/2.jpg?5945,https://ng.jumia.is/unsafe/fit-in/680x680/filters:fill(white)/product/33/302626/3.jpg?5945",2
