product_id,product_category,product_name,product_url,discounted_price,original_price,product_images_url,page_no
product_headset_631,headset,P47 5.0 Stereo Wireless Bluetooth  Foldable Headphones,https://www.jumia.com.ng/p47-5.0-stereo-wireless-bluetooth-foldable-headphones-98135416.html,"₦ 4,330","₦ 7,000","https://ng.jumia.is/unsafe/fit-in/680x680/filters:fill(white)/product/61/453189/1.jpg?0363,https://ng.jumia.is/unsafe/fit-in/680x680/filters:fill(white)/product/61/453189/2.jpg?0363,https://ng.jumia.is/unsafe/fit-in/680x680/filters:fill(white)/product/61/453189/3.jpg?0363",1
product_backpack_885,backpack,LouisWill Laptop Bag Backpacks Men Laptop Backpack,https://www.jumia.com.ng/fashion-louiswill-laptop-bag-backpacks-men-laptop-backpack-221099640.html,"₦ 18,470","₦ 28,980","https://ng.jumia.is/unsafe/fit-in/680x680/filters:fill(white)/product/04/6990122/1.jpg?9650,https://ng.jumia.is/unsafe/fit-in/680x680/filters:fill(white)/product/04/6990122/2.jpg?9650,https://ng.jumia.is/unsafe/fit-in/680x680/filters:fill(white)/product/04/6990122/3.jpg?9650,https://ng.jumia.is/unsafe/fit-in/680x680/filters:fill(white)/product/04/6990122/4.jpg?9650,https://ng.jumia.is/unsafe/fit-in/680x680/filters:fill(white)/product/04/6990122/5.jpg?9650,https://ng.jumia.is/unsafe/fit-in/680x680/filters:fill(white)/product/04/6990122/6.jpg?9650,https://ng.jumia.is/unsafe/fit-in/680x680/filters:fill(white)/product/04/6990122/7.jpg?9650,https://ng.jumia.is/unsafe/fit-in/680x680/filters:fill(white)/product/04/6990122/8.jpg?9650",3
product_ear_pods_440,ear_pods,Power Pod Bluetooth  Wireless Ear  Pod / Headphones Earbuds,https://www.jumia.com.ng/power-pod-bluetooth-wireless-ear-pod-headphones-earbuds-67947638.html,"₦ 6,380","₦ 8,765","https://ng.jumia.is/unsafe/fit-in/680x680/filters:fill(white)/product/83/674976/1.jpg?0817,https://ng.jumia.is/unsafe/fit-in/680x680/filters:fill(white)/product/83/674976/2.jpg?0817,https://ng.jumia.is/unsafe/fit-in/680x680/filters:fill(white)/product/83/674976/3.jpg?0817,https://ng.jumia.is/unsafe/fit-in/680x680/filters:fill(white)/product/83/674976/4.jpg?0817,https://ng.jumia.is/unsafe/fit-in/680x680/filters:fill(white)/product/83/674976/5.jpg?0817",2
product_office_chairs_1324,office_chairs,Ergonomic High Quality Swivel Chair,https://www.jumia.com.ng/generic-ergonomic-high-quality-swivel-chair-81106619.html,"₦ 70,000","₦ 80,000","https://ng.jumia.is/unsafe/fit-in/680x680/filters:fill(white)/product/91/660118/1.jpg?1402,https://ng.jumia.is/unsafe/fit-in/680x680/filters:fill(white)/product/91/660118/2.jpg?1402,https://ng.jumia.is/unsafe/fit-in/680x680/filters:fill(white)/product/91/660118/3.jpg?1402,https://ng.jumia.is/unsafe/fit-in/680x680/filters:fill(white)/product/91/660118/4.jpg?1402",4
product_backpack_844,backpack,LouisWill Women Fashion Backpacks Casual Anti-theft Bags,https://www.jumia.com.ng/fashion-louiswill-women-fashion-backpacks-casual-anti-theft-bags-67493298.html,"₦ 9,190","₦ 37,450","https://ng.jumia.is/unsafe/fit-in/680x680/filters:fill(white)/product/89/239476/1.jpg?5730,https://ng.jumia.is/unsafe/fit-in/680x680/filters:fill(white)/product/89/239476/2.jpg?5730,https://ng.jumia.is/unsafe/fit-in/680x680/filters:fill(white)/product/89/239476/3.jpg?5730,https://ng.jumia.is/unsafe/fit-in/680x680/filters:fill(white)/product/89/239476/4.jpg?5730,https://ng.jumia.is/unsafe/fit-in/680x680/filters:fill(white)/product/89/239476/5.jpg?5730,https://ng.jumia.is/unsafe/fit-in/680x680/filters:fill(white)/product/89/239476/6.jpg?5730,https://ng.jumia.is/unsafe/fit-in/680x680/filters:fill(white)/product/89/239476/7.jpg?5730,https://ng.jumia.is/unsafe/fit-in/680x680/filters:fill(white)/product/89/239476/8.jpg?5730",2
product_wrist_watch_1067,wrist_watch,Men's Classic Business Black Stainless Steel Watch,https://www.jumia.com.ng/fashion-mens-classic-business-black-stainless-steel-watch-216682853.html,"₦ 3,499","₦ 9,000","https://ng.jumia.is/unsafe/fit-in/680x680/filters:fill(white)/product/35/8286612/1.jpg?0253,https://ng.jumia.is/unsafe/fit-in/680x680/filters:fill(white)/product/35/8286612/2.jpg?0253",2
product_usb_hub_124,usb_hub,High  -Port USB 2.0 Multi HUB Splitter Expansion Cable Adapter Black,https://www.jumia.com.ng/generic-high-port-usb-2.0-multi-hub-splitter-expansion-cable-adapter-black-83665821.html,"₦ 1,424","₦ 1,851","https://ng.jumia.is/unsafe/fit-in/680x680/filters:fill(white)/product/12/856638/1.jpg?9810,https://ng.jumia.is/unsafe/fit-in/680x680/filters:fill(white)/product/12/856638/2.jpg?9810",4
product_headset_635,headset,IPX5 Waterproof Sports 9D Stereo Wireless Bluetooth Bone Conduction Headset,https://www.jumia.com.ng/generic-ipx5-waterproof-sports-9d-stereo-wireless-bluetooth-bone-conduction-headset-136111200.html,"₦ 3,650","₦ 7,500","https://ng.jumia.is/unsafe/fit-in/680x680/filters:fill(white)/product/00/2111631/1.jpg?9637,https://ng.jumia.is/unsafe/fit-in/680x680/filters:fill(white)/product/00/2111631/2.jpg?2234,https://ng.jumia.is/unsafe/fit-in/680x680/filters:fill(white)/product/00/2111631/3.jpg?2234,https://ng.jumia.is/unsafe/fit-in/680x680/filters:fill(white)/product/00/2111631/4.jpg?2234,https://ng.jumia.is/unsafe/fit-in/680x680/filters:fill(white)/product/00/2111631/5.jpg?2234,https://ng.jumia.is/unsafe/fit-in/680x680/filters:fill(white)/product/00/2111631/6.jpg?2234,https://ng.jumia.is/unsafe/fit-in/680x680/filters:fill(white)/product/00/2111631/7.jpg?2234,https://ng.jumia.is/unsafe/fit-in/680x680/filters:fill(white)/product/00/2111631/8.jpg?2234",1
product_office_chairs_1215,office_chairs,High Back Ergonomic Mesh Office Chair With Headrest,https://www.jumia.com.ng/generic-high-back-ergonomic-mesh-office-chair-with-headrest-101580695.html,"₦ 89,140","₦ 95,000",https://ng.jumia.is/unsafe/fit-in/680x680/filters:fill(white)/product/59/6085101/1.jpg?8407,1
product_usb_hub_173,usb_hub,Adapter Cable USB Charging 4K HDMI Type C Cord USB 3.1 Hub For Macbook,https://www.jumia.com.ng/generic-adapter-cable-usb-charging-4k-hdmi-type-c-cord-usb-3.1-hub-for-macbook-90489105.html,"₦ 11,128","₦ 15,579",https://ng.jumia.is/unsafe/fit-in/680x680/filters:fill(white)/product/50/198409/1.jpg?1363,5
